label,text
happiness,突然感叹还好抓鸡是横屏的有木有！！！！！！！！！
happiness,[大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑] [大笑]
happiness,恭喜第488位投票的是@Summery_WJ 第588位投票的是@JJFederation-霄雯 第888位投票的是@------平行线----- 以上童鞋获得2011银鹭花生牛奶i唱i音乐城市歌会门票一张！
happiness,私信我留下有效联系方式哦，恭喜恭喜！
like,如果运用合适的搭配方法，通体透明的裤装绝对是扬长避短的最好单品。
like,层叠穿着和皱褶的遮挡都是不错的选择。
fear,好热，昨晚没睡好，做了个噩梦，还好会醒过来，梦里痛苦挣扎，以为挣扎不过来，吓死我！
anger,钱是小事，把老师教坏了[抓狂] 钱是小事，把老师教坏了[抓狂] //@leithnannan：教育产业化哦，苦了爹妈的银子哟 //@王久辛:[赞] [赞] //@龙音九天：作为老师，严重关注，严重支持！！！！
anger,长此以往，中国的教育恐怕没有明天。
like,当我们吃着零食时，有没有想过爸妈是否在家吃着干馍干菜？
sadness,当我们报怨冷时，有没有想过爸妈是否寒冷？
sadness,当我们烫发染发时，有没有想过爸妈的白发？
sadness,当我们买一件件衣服时，有没有想过帮爸妈买上一件？
sadness,当我们美容时有没有想过他们满脸的皱纹？……
like,他们不怕苦，因为孩子永远是他们的动力！
sadness,如果我离去，永远地永远地，消失在你的世界里，你会不会在某个清醒的午后想我想到心痛？
sadness,如果有一天，在街上看到我的手被别人紧紧地握着，你会不会 冲动地告诉我你依然爱我？
sadness,如果有一天我要死掉，临死前就是想看你一眼，你会不会不顾一切地回到我身边？
surprise,一出门就被凶狗狂叫尾随近400米是怎么回事...?
fear,害怕死了还要装镇定缓步走...
anger,[泪] 睁大你的狗眼好吗!!
anger,我的脸上不是写着 死好人 三个字吗??!! [抓狂]
sadness,等待不苦，苦的是，没有希望的等待……
sadness,曾经，愿意不顾一切的等你，愿意随时随地陪你，愿意在你身后默默的看你，为你的快乐而快乐，为你的悲伤而悲伤，尽管，那些情绪，与我无关……
sadness,郁闷了不要了这个分区吗?
sadness,硬盘不够用咧!
sadness,"看这张有多瘦，82kg,真的开始要增肥了，可是怎么吃都不胖，（想要减肥的人儿来问我减肥的秘诀吧），但是你要告诉我增肥的秘诀，因为我整天在为增肥而烦恼[可怜]"
disgust,焚烧秸秆、垃圾的味道已经持续好几天了，最近几天早晨就在这种味道中醒来，真是令人不爽。
anger,明天再这样，只有请教科教卫的同志，这到底是什么味道，是真的露天焚烧垃圾的味道吗？
anger,是他们趁着夜色的掩护焚烧垃圾吗？
anger,是不是可以请有关同志虚拟关心一下。。。
disgust,众多只有这一套房的业主向物业求助，物业无奈，居然向110和城管报警，对方值班的都说所有人员都去协助体育中心的大型活动了。[晕]
happiness,"[晕][晕][晕][晕] 其实我还是刚出生得婴儿啦[害羞] [害羞] [害羞] ,[六一快乐] 各位六一快乐[六一快乐] !"
happiness,[奥特曼] [奥特曼] [奥特曼] [奥特曼]
like,当人们认为四分钟跑一英里是人类极限时，1954年5月，班尼斯特用3分59秒4跑完了这个距离，他如何做到的？
like,＂心智模式＂的突破是他成功的关键。
like,官方cafe更新钟勋生日祝福1P ：崔钟勋，在你的这第22年里 希望这年里你可以做自己最想做的事 队长这个位置 怎么看都不错 但又怎么看都是累的 这位置好像是要付出得更多 虽然累 但请一直努力吧 因为身后有PRIMADONNA 真心祝你生日快乐
happiness,啊啊啊啊啊啊啊啊啊啊
like,斗俊sama........你这样俺们受不住啊...
disgust,原来订的航班取消了，而且说取消就取消了！
anger,伤不起的国航！
happiness,还好一兄弟帮忙，挤上了前一班，从办公室急奔机场，现在要登机了
like,今天无意中看到了两张当年幸存下来的照片，一瞬间感慨万千！
like,一开始挺喜杨澜，后来加了杨澜微博。
disgust,发现杨澜故作知性，其实就是满身铜臭味的商人！
disgust,一天到晚就是钱钱钱，要么虚荣的要死！
anger,和乐清看守所警号035654的警察大吵一架。
anger,你们每个律师来见，都去核实吗？
anger,做坏事的人以后天打雷劈。
disgust,一财网的同志们看到请转达一下，你们现在底层编辑发的、改写的稿子有很多不实报道，请注意清查，否则哪天被哪家机构盯上了，死都不知道怎么死的。
surprise,老同事们再相见，令我目瞪口呆的是一个个均完美大瘦身，变化之大让人不敢乱认，连打招呼都得经人不断确认不断提醒。
surprise,唉，蛋定，蛋定！
sadness,虽然不是永远的离别却难再相聚 只希望你知道我还在想着你 亲爱的~
sadness,上个月，得以约考，无奈居住证过期，未果。
happiness,今天情景和第一次是如此的相似，暴雨再次中断考试进程，但最终过了！
happiness,一年了，真TMD内牛满面啊！
surprise,飞屋被带到了现实中了！
happiness,一大早看到这个有没有很激动呢~
anger,"我只关心做的是不是坏事,写些狗屁不通的文章供有关部门强奸网友,做这种事的人就该被人唾骂,管他是出于什么理由"
happiness,爱大家！
happiness,特别爱！！
happiness,明天下午3:00我们中央电视台（非常6+1）微访见[亲亲]
sadness,这年头还有真爱吗？
like,高考日，祝同学们考试顺利！
like,[呵呵] 高考是我们苦读的结束，也是我们脱离被动学习状态，学会自学，进入全新奋斗的开始！
disgust,没网就各种焦虑...
disgust,我好想戒掉微博...
disgust,戒掉网...
like,如果有可能我真要戒了...
happiness,本来应该很高兴的仙女们的好节日 。
disgust,却收到几个感觉不太妙的消息。
sadness,心里莫名的就很难受。
sadness,很不舒服！
sadness,为什么那么多美丽的爱情童话，都这么一点点的消失----难道这个世界，可以有点责任心，有点宽容和可以历经风雨的爱情就不能多存在点吗？！
sadness,怎么总是有那么多被伤害的人啊---我好心痛--无语了
disgust,有钱没钱，有老婆没老婆，出来乱搞，得夸着，得哄着人对吧，好好一事，非弄得奸夫淫妇似的。
disgust,嘴甜鸡巴不亏~
disgust,哇靠谁能明白我的心情啊！！！！！！！！！！！！
happiness,这会儿他还携同家属及同事们在天上飞呢[飞机] ，些许明天下午能见到他。
happiness,[思考] 我来七岁叫了，安~[月亮]
like,有饭发短信，金希澈念：我经常吃饺子只吃陷，吃饭也只吃肉，我这样很乖么？
disgust,挑自己喜欢的吃有罪么？
surprise,我承认我很out，但是老爷子也太潮了吧- -
surprise,囧~那天看到年轻人在玩街攀（自行车），就屁颠屁颠的跑过去学了一下午，说要学从楼梯上冲下去~~- -
surprise,-我勒个去~~刚好又看到一部downhill的车~~
disgust,现在在琢磨着是不是玩玩= -=[生病]
happiness,——多么称职的女主持人，多么红火的娱乐节目
happiness,睡觉了，睡前最后给各位童鞋娱乐一下，这张GIF该有喜感了，反正我是笑喷了。。。。
happiness,经年之后，我们能偶然遇见，在属于你们的长乐路，韩庚庚牵着小奶奶与我擦肩而过，我想那时我是幸福的。[织]
disgust,今年高考作文题披露，巨无聊。
disgust,虚假、做做、装逼，一无是处。
disgust,能不能出点富于新意、能多少融入个人生活的题目？
happiness,六一快乐哟！[月亮]
happiness,看到马路上水片就去跳跳~~哈哈。。
happiness,别人的裤子都被我溅湿了~~很有成就感！！
happiness,很开心啊~~~[鼓掌] [鼓掌] （小小鄙视那些咒骂下雨的人儿们啊~~~[挖鼻屎] ）
like,小笨穿的可美了 准备美代一双 各位觉得美貌不？？
disgust,我觉得人有时候就是贱！
happiness,经常有人请吃请喝请玩也不错...
happiness,[偷笑] 这几天吧里是玩爆上瘾了....
disgust,从外资被赶出去，从中国电视在2001年一夜之间把民营资本借有线无线合并赶出去，从今天又一夜间出来无数广播电视台，我们看到的是折腾。
disgust,中国电视被政客们折腾来折腾去，结果是娱乐至死，电视做到没有质量，庸俗不堪。
disgust,但凡了解点电视的人，应该出来反对这场闹剧了。
disgust,该收场了，某些想借电视达到政治目的的
happiness,这几天过得很精彩，各种精彩～
happiness,爸爸妈妈我爱你们，阿姐姐夫谢谢你们，想你丹，爱你龙，感谢所有，超幸福～
happiness,[蛋糕] [蛋糕] [蛋糕] 都忙忘记了，不然今天应该穿漂亮点的。[可爱] [可爱] [可爱]
anger,//@徐小平：文革时期的广西发生过更加惨无人道的事情。
anger,这些娜狗，还没开打个个都跑出来吠，
disgust,我倒要看到底是李娜横扫彭帅还是彭帅横扫李娜，
disgust,到时不要你家主人输球就说因为状态不好
happiness,[赞][哈哈] 我们爱讲冷笑话:趁年轻 赶快留下点什么吧~[奥特曼]
surprise,Facebook上遇到一个完全不懂中文的马来西亚男玉米，这位同学只能利用比较少的一些李宇春的英文介绍和少量的Cantonese顽强成长着，竟然还不火星，竟然还自己贴了我葱《达人志》的新图。
like,感动的是，只是因为wikipedia的小介绍，只是因为音乐纯粹的爱下去
like,这总统太帅了！
like,//@乌鲁木齐卷毛：我喜欢。
like,//@Rayila_melody很安静：给力！
anger,儿子近来表现不是很好，今天我教育了他：人吃饭是为了活着，但活着不一定就是为了吃饭；
disgust,老子后背脊梁那个一凉啊！
like,刚接到Katty的电话，她正在北京机场，一家人要飞往香港，快一年没听到声音，很亲切，这次回国她不来上海，否则尽地主之谊，好好地陪着游玩。
like,我们都希望彼此的生活能越来越好！
happiness,虽然首回合意外落败，但是我对于他们翻盘仍然充满信心。
like,因为那是必须的。
like,米兰拥有热刺所不具备的欧冠淘汰赛经验，以及豪门的气质。
disgust,中央政府的鞋比较大，砸不到脚趾头 两瓶茅台，中央政府搬起石头砸了地方政府的脚@侯宁
like,他是如此诚实的一个运动员和一个伟大的人。
like,他从不做坏事。
like,我坚定不移地站在他身后支持他，我希望他能够尽快返回赛场，正是因为有了像他这样的家伙，英超才能够成为世界第一联赛。
happiness,哈哈哈，今天我终于可以睡一半的床了！
happiness,[鼓掌][鼓掌]宝宝今天安单睡在中线的另一半[偷笑]我本来睡相不差，可是和宝宝睡一起太压抑了，导致我现在宝宝不在的时候我就会翻来翻去的睡觉[偷笑]
disgust,真热!
surprise,才六月!
surprise,六点起床就已这温度了!
disgust,为嘛今天新增了的粉丝都是没有头像的....
disgust,"我郁闷呀[泪] 大家注册微薄的时候能不能放张头像,别那么小气呢..."
like,我的愿望很简单：在哪里遇到你，在哪喜欢你，在哪把你放在心里；我的爱很简单：不要你的承诺，不要你的施舍，要给就给你的真心。
like,在忙的时候、在苦的时候、在悲伤的时候，有你就好。
like,我希望你快乐、对家人有责任；你幸福、自己的爱明白。
like,真想你~
anger,"沃尔玛真坑爹啊,今天多收了我 8元钱被我查出 来了,不知道以前还多收了我好多钱,看来以后去沃尔玛要带个计算机了^^^^"
happiness,不过晚上演出拿了礼品还有大白兔奶糖。
like,这样的忙碌真好。
anger,国奥队你们还有脸坐商务舱呀，你们的飞机就该掉下来把你们扔死海里，不要脸的王大雷你还说阿曼太热了，南极冷你们又受不了，本来不想说你们了，什么玩意呢，国家也是你们溅呀，这个队连空调屋都别给他们，看看我们的后备力量在土地上练球，你们怎么不播经费给孩子们呢！
anger,国奥队，你们死在阿曼吧
like,"到现在我的心都没变,所以还是会继续支持的!"
like,所以加油吧!
happiness,前两天，我刚过完我9岁的生日，今天又过儿童节，好开心呀！
happiness,明天可以跟好朋友只是去肯爷爷那里去吃儿童套餐，还可以一起去游乐场玩。
happiness,真想每天都能过六一！
happiness,[哈哈]
sadness,以为自己会一点点的忘记，可是从别人口中知道你的消息的时候，还是忍不住的心伤，不知道是舍不得还是不甘心。
sadness,从那天把你从好友拖到黑名单的时候，我看着聊天记录，一边看一边流泪，所有的一个Delete就可以解决，原来现在的爱情是如此的简单。
disgust,感谢郭美美，让我们警醒，管理好自己的腰包比啥都重要！
disgust,当红十字吃着万元大餐的时候，LZ回家啃馒头就咸菜；当红十字开马沙拉帝，LZ下班还得抱着被挤怀孕的危险挤公车；当红十字挎着爱马仕时候，LZ还得提塑料袋去买馒头和咸菜！
disgust,对方矶矶歪歪。
disgust,不耐烦的态度。
disgust,让爷很不爽。
disgust,请注意：我不是为了巴结你。
disgust,是为了支持你工作才找你的。
disgust,否则我才懒得理你
happiness,小马丁进球啦！！！！！！！！
sadness,今天突然接到通知，山田老师真的又来了，每天中午到晚上持续六小时的日本雅乐舞学习，我那上一天课休息六天的美好日子over了。
sadness,周末也没有了。
sadness,[健美操][大哭][眼泪][鼻涕]该庆祝么？
anger,重庆电信你特么牛逼了，老子在广东也好贵阳也罢，都没有说用自己身份证不能办宽带的，只有你这里是这样，特么你是多牛逼，是多牛逼？
anger,老子用联通去，特么王八蛋
disgust,你还唱《就是爱你》和《她来听我的演唱会》、、这也算了。。
disgust,你竟然还给我唱《夜上海》《给我一个吻》啊啊啊啊啊啊啊啊啊啊啊啊！！！
disgust,你现在还说你要当众索吻！！！
disgust,[抓狂] 啊啊啊啊啊啊啊啊啊啊！！！
anger,如果这都不叫相配，你告诉什么叫做爱你就要变成你？！
anger,什么叫做夫妻相啊！！！！
anger,[抓狂] （图F：yjlove 非邪教勿手滑哦！）
disgust,百度是我最BS的一个互联网公司，身为国内搜索领域的绝对大哥，他旗下的产品都...
disgust,这个浏览器做的，外形、描述都和谷歌相差无几.....
happiness,[喇叭][礼花][礼花][礼花]恭喜心如大小姐获得华鼎电影满意度调查＂华语电影最佳女配角＂[鼓掌][鼓掌][鼓掌]
anger,关系到孩子的健康，怎么能如此忽视？
disgust,受够了每天无止境的等待，受够了每天在家里宅着，受够了每天一打开微博全是郭美美，明星整容，星座，搞对象的信息。
happiness,教室终于可以安空调了 从那么多的惊叹号 就可以知道……
happiness,我们好热 教室真像个闷骚的小蒸笼 我们终于得到救赎了！
like,无法形容的美貌啊。
like,惨白的少年啊~~~~~让俺扑上去吧&gt;&lt;！！WP：1440x900pt。
disgust,这几天，心里燥啊，一点小事就一肚子的火，跟女人来事一样，烦的要死。
disgust,刚琢磨明白，都是戒烟闹的，一天一包的量，现在一根不抽，这罪遭的，憋的慌，烦的慌，抓心挠肺的。
like,我很幸运，能为自己喜欢的事忙碌，也就不觉得累。
like,这种热情对找工作很有用。
happiness,好多人说我自从胖了以后，就再也找不到品位可言了，现在瘦了，又剪了一个难以驾驭的头发，不收拾收拾出门真的是对不起自己多年游历各地的装备，明天给力星期天，走着您嘞！！
sadness,这里现在都变工厂了，原来是国营的赤港农场，几年前有个越南归侨在这里经营越南小吃，风味独特，今天来寻却一无所获，憾啊！
fear,只是现在的太阳不再是自然的阳光，空气中弥漫的各类的化学物质使得太阳的光芒再也不是那样的可爱，而是一种极具杀伤力的致病武器。
disgust,我们还要这样的阳光吗？
fear,还敢迎接这样的太阳的光辉照耀吗？
like,今收到老公发来的节日问候，超给力，与各位分享！
like,三八节温馨提示：家和万事兴！
surprise,木卫四你到底做了些什么见不得人的事……
surprise,居然能搞到某些人的稿子！！
sadness,[伤心] 更是顶层设计的问题//@王久辛：[心] [心] [心] 以前父母都会对老师说：老师，孩子就交给您了[心] 。
sadness,可现在，这句话没了，因为老师把孩子又还回来了[伤心] [伤心] [伤心] 。
like,刚把周笔畅的唱歌去旅行的演唱会看完，不得不说，还是很不错的，和其他开过个唱的超女比起来，无论曲风舞台造型和安排都洋气很多，没有大陆选秀明星的影子，大家可以去看看[赞]
disgust,＂数据表示公众对红十字会捐款有信心＂，只此一点就可看出这是个多么无诚意的通报会，其他几点还能有意义？！
disgust,意思就是中国你没钱很大程度上要怪你投错了胎。
sadness,真正的君臣挚友现在还有吗？
sadness,生不能在一起，死可以共赴的女子还有吗？
like,虽然都是小说家言，虽然或许很不真实，但这是我喜欢的。
sadness,最后一个感悟，人生很短。
sadness,有个博士大哥说，算命先生曾经说他二十岁结婚，二十三岁抱娃，但是现在快三十了还没女朋友，真是知识改变命运啊！
like,我们更相信他无时无刻都感受的到我们在为他付出！
like,为你！
like,我们心甘情愿！！
fear,看到大家收拾东西，办理离校手续，我开始恐慌，大家都离开了，我也必须得走了，但是我却不知道我该去哪里。
sadness,我有点不知所措的看着一堆东西，仿佛我和它们是一样的，忍不住想问，我们该怎么办？
sadness,我们会被丢去哪里？
anger,尼玛直播！！！！！！！！！！！！！！！！！！！
anger,太又桑啊！！！！！！！！！！！
anger,禁你妹啊！！！！！！！！！！！！！！！
anger,尼玛网络社会还禁对外啊！！！！！！！！！！！！！！！！！
anger,尼玛大陆妹只你们伤不起呀！！！！！！！！！
disgust,呃，我的老大，总是让我写范冰冰。
like,我知道这个女人很火，而且我也觉得她很有吸引力。
like,在中国缺乏巨星，范冰冰是我认为最有潜力成为巨星的。
like,期待他们的精彩报道。
sadness,"看来学习真的有减肥的作用,最近胖的像头牛,体重直到170斤,学了三天习就变不到160了,怪不得那些学习好的都跟麻杆似地,哎,真怀念我初三120多斤的时候,身高一厘米没长不说那时候还能抓筐呢..."
sadness,我发现我可真是赚到了，才活了不过20几年，碰上了50年一遇的旱灾，100年一遇的洪水，60年一遇的大雪，300年一遇的泥石流，500年一遇的地震，600年一遇的海啸.....
sadness,人家轮回转世好几趟都碰不全呀！
like,我一吃迷你版的奥利奥我就爱上了！
like,一口一个！
like,真适合我！
happiness,胃不好的人晚上不能吃粽子，只能留到明天吃啦~
like,阿君妈包的粽子不是一般的好吃哦
disgust,明明座位已开到极致的变态，出来的图却像半场光景。
anger,没见过这么自黑旗下歌手的脑残公司！
anger,别人家都可劲儿吹，你们倒好，为赚黑心钱，将图上低价区虚假放大。
disgust,但是早上起来的时候，发现浑身都起了红色的小疙瘩，非常痒。
disgust,一天下来都没有办法好好工作。
happiness,从这刻开始偶们无法淡定了，新武林外传开机成功[奥特曼][威武][奥特曼][围观][哈哈][哈哈][哈哈]
like,中国电影需要巨星，范冰冰有资格成为这个时代的巨星。
disgust,维稳闹出了人命，还能摆得平么?
sadness,俺们是穷人家孩子[泪]
sadness,忧伤却踏实。
sadness,希望上天多给我些机会，我已明白自己的不是，怎么会忙到忘记父母已经老了呢？
sadness,为什么有的人能轻易和别人在一起，有的人却小心翼翼步步为营呢？
sadness,反正最后都要浑身是伤，其实认不认真有什么所谓。
fear,一个比较恐怖的名词 做起来也不是那么恐怖。
like,我们结婚吧，好不好。
like,那样我们就可以不再对着电话诉说想念，就可以每天清晨起来看见你的睡脸，然后一起吃一顿不太丰盛却很温暖的早餐。
like,我们结婚吧，好不好。
like,那样我们就可以拿着民政局发的红色小本子四处炫耀，我们可以在房间里挂满结婚照，看着看着就会不自觉的微笑。
like,我们结婚吧。
like,清晨的阳光好暖和！
happiness,：）今天好开心！
like,米兰3：0完胜那布勒斯，帕托的爆发，博阿腾的闪光，让我们又看到了那支充满霸气的米兰。
like,不过今天更让我感动的是扬库洛夫斯基、加图索、内斯塔这样的米兰老将，在他们身上又看到了米兰精神！
like,接下来的两场恶战，米兰值得期待
like,男朋友为了我的健康，在网上申请了味全乳酸菌2万人免费大增饮活动。
happiness,男朋友好体贴的，还会在家用各类谷物、水果调制各式各样的乳酸菌饮品，我好幸福呢！
happiness,啊哈哈哈。。。
happiness,110628希澈回复始源（接上）：现在快到你哥我的生日了呀...
sadness,店面经理这周去旅游，小区运作和活动策划又都压在我这，分身乏术[泪]
like,异口同声：冯绍峰——你们究竟是蜜蜂还是蜂蜜呀，实在是太可耐啦！
like,[哈哈] 话说，幂坐的沙发位置很大哦~[偷笑] （天下女人）
happiness,都激動.
anger,MLGB啊!
anger,半夜三更的不知道是几楼的夫妻俩在骂架!
disgust,不堪入耳!
disgust,噪音扰民!
anger,还让人睡觉不!
disgust,公德心喂狗了啊!
anger,物业的死哪儿了!
anger,不知道管管啊!
like,强力推荐， 他真的很负责，很用心。。。
disgust,"鄙视那些收了礼物又不配合办卡的猪,[怒骂]猥琐..."
disgust,"坐人最起码的素质都没有,一头撞死算了[弱](真不是我说话恶毒,真应该看看黄历,今天碰到的人太可恶了)"
sadness,唉...
sadness,两三年无翻去回味过校园嘎回忆了[泪]
sadness,复习就是一个不断的抬起头看书，然后每隔十五分钟趴下，眼睛痛苦拉据，拼了命看完厚厚一本书最后却忘了第一页讲啥内容的感人故事…
anger,菲律宾都这么猖狂，美国支持？
anger,尼玛美国了不起啊？
anger,我都不知道祖国的国防建设建哪儿去了？
anger,造飞机导弹尼玛当玩具啊？！
anger,钱案发生后，一系列的行为，抢尸、警察、特警、边防警察、狼狗、搜查、拘捕、跟踪等等，无不是恣意妄为，活生生把内部矛盾当成敌我矛盾处理的架势，授人以柄。
anger,就连一些愿意为之辩护的人都不好意思开口，除了窦含章、吴法天。
sadness,不甘心只是朋友——很多的感情，都因为一厢情愿，最后连朋友都当不成了。
happiness,在渝香隆吃火锅，旁边一桌小年轻三国杀玩的如火如荼，哈哈！
like,给力的万达~好吧~还木呼朋唤伴去围观翔翔的抓紧啦!!!
happiness,"带上他们去逛街,提高万达人流量呀~反正有空调,又不花钱~都去万达吧!"
happiness,叫上七大姑八大姨的~哈哈
like,〈建党伟业〉[害羞][害羞][害羞]谁有兴趣一起去看看[爱你]
like,宗旨是为人民服务，执政理念是以人为本，执政为民。[生病][太开心][生病]
sadness,望着他离去的背影我内牛满面，靠，我的她也TMD出差了。
disgust,越南菲律宾都在蚕食我国领土。
disgust,我英明神武的党为什么还不发威呢？
disgust,打吧！
disgust,打他个落花流水扬我国威，还能转移内部矛盾，何乐而不为？
happiness,人品大爆发了。
happiness,三八节，和两个三八聚赌，从雕刻时光转战到隔壁茶馆，终于小赢一把，给力的;干瞪眼。
sadness,如果当初我勇敢，结局是不是不一样。
sadness,如果当时你坚持，回忆会不会不这样。
sadness,有时候，一个人的失踪，孤独了一个世界。
sadness,宝宝刚才又翻江倒海般的吐奶了，我看的呆掉，外婆赶紧抱起宝宝，宝宝难过的哭了，又换了一身衣服。
sadness,保佑宝宝早日脱离吐奶和湿疹的困扰！！
disgust,杨梅本来就不该这么大这么甜，一定会有问题，请购买者慎重！
disgust,监管者就是制定者，同时也是发布者和执行者，这就是问题的根本，其实都是一个人的意思，只不过哄小孩子的YY游戏而已。
disgust,然而在现在的中国大陆，这似乎太难实现了，毕竟这是触犯到了高层的根本利益。
like,回复@徐烽xufeng:有道理!
like,好消息：继实现短信信用卡还款以后，建行短信又推出了缴费、约定账户转账等增值服务（需要到柜台开通，不另收费），欢迎大家使用。
sadness,在就业形势严峻的今天，毕业对很多人而言就是一道坎，找到工作的为住哪儿发愁，没找到工作的更是发愁，丝毫没有即将步入社会的兴奋氦动，有的只是茫然和紧张，毕业了，我们到底住哪儿？
disgust,中国是一个业余的国家。
disgust,很多地方都是业余水平，坑爹的事情随处可见，比如盲道。
disgust,是真的坑啊，往死了坑，直接引人入坑……
happiness,中国足球的乌鸦嘴、在演播室和现场评论席上历经过多次惨败的@徐阳 徐连长，终于破天荒地在面对东亚强敌的时候把中国足球说赢了，而且更加破天荒地连续说赢了！
happiness,[嘻嘻]
disgust,没孩子味儿啦！
disgust,景观学概论，整整一本书啊……
disgust,有木有啊!!
anger,根本背不下来啊！！
anger,有木有啊！！
anger,都是什么东西啊~画的重点太多啊……
anger,习题又不确定啊……
anger,伤不起啊啊啊
disgust,现在人家跟我一说起游戏，就谈社交性，烦不烦？！
disgust,一定要有社交性才能赚钱？
disgust,过去二十年里大卖的游戏都有社交性？
disgust,有些人啊，就喜欢放大一种偶然性，努力把它发展成所谓的必然性，却忽视了游戏本身应有的乐趣，一叶障目。
disgust,别折腾自己了，成功是偶然的，而且是不能复制的！
anger,晚上喂完儿子饭，我就忙着洗碗，托地，洗澡，洗衣服，晾衣服时我发现桌上的菜还没收拾，就喊一直在看电视的老公收下菜，他居然疾呼：你洗完碗怎么不收菜啊？
anger,尼玛！
anger,我忙了一晚，喊你做这点事还跟我叫。
anger,跟你们臭男人说：现在男女都赚钱，家务不再是女人的事，需要双方平摊着做。
disgust,"[织] 中小学假期作业坚持捍卫教辅产业链~作业布置一级级超强叠压,不报班孩子绝对不会做!"
anger,"尤其中学,家长根本辅导不了~百分百是被各个教委学校老师合谋算计=逼进教辅班~神圣教育被彻底邪恶化龌龊化!!"
sadness,有些人出来工作就变了，看着曾经纯真的雅琪师姐变成现在的睡衣杂志模特，我却感觉不到为她开心的感觉，她变了，去了上海就完全变了一个人，她不理过去的朋友了，说话不再幼稚可爱，现在说出来的话都是情情色色
sadness,身体残疾本身已经太痛苦了，不能再让不幸的人心灵也痛苦。
like,所以要同情关怀残疾人，给无助的人们以温暖。
anger,这圈子真奇怪 说俊秀可爱的就没资格当仙后了？
anger,不恨jyj的就没资格当仙后了？
anger,那叫安替 不叫仙后好吧[汗]可怜多少妹纸以为自己觉得俊秀可爱有多大罪过似的[鄙视]仙后泥煤 举个tvxq2 以为自己血统多纯正 别人都是麻瓜了 tvxq才不2 2的就是你 你全家都2[怒][怒][怒][怒][怒][怒][怒]
like,今天，向家驹致敬。
surprise,跑去看到女孩竟然就是高中同桌！
happiness,"双方父母目瞪口呆,沉默了许久,相亲宴在4句话6个字后变成了订婚宴。"
happiness,这两天携美国归来的大学同学T赴崇明岛看望同学Y，三人见面相谈甚欢。
